State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
Alabama,1,4679,98682634,4.7,4.9,0.80%
Alaska,2,1376,14569726,9.4,9.2,0.20%
Arizona,4,13522,130658024,10.3,10.7,2.30%
Arkansas,5,3515,60151295,5.8,6.1,0.60%
California,6,45360,776337985,5.8,5.7,7.70%
Colorado,8,9525,104581601,9.1,8.9,1.60%
Connecticut,9,9181,74154436,12.4,12.4,1.60%
Delaware,10,2599,18545432,14,14.3,0.40%
District of Columbia,11,2273,12923833,17.6,17.5,0.40%
Florida,12,41290,392032107,10.5,10.8,7.00%
Georgia,13,13009,198670995,6.5,6.5,2.20%
Hawaii,15,1405,28084286,5,4.9,0.20%
Idaho,16,1592,32067098,5,5.2,0.30%
Illinois,17,28228,266645950,10.6,10.6,4.80%
Indiana,18,9638,134763304,7.2,7.3,1.60%
Iowa,19,2784,63697647,4.4,4.6,0.50%
Kansas,20,3002,59137736,5.1,5.3,0.50%
Kentucky,21,12047,89896925,13.4,13.6,2.10%
Louisiana,22,5918,95491059,6.2,6.3,1.00%
Maine,23,3239,27696591,11.7,12.2,0.60%
Maryland,24,19904,120252834,16.6,16.1,3.40%
Massachusetts,25,21199,138027854,15.4,15.3,3.60%
Michigan,26,19663,209120484,9.4,9.5,3.40%
Minnesota,27,5610,110696994,5.1,5.1,1.00%
Mississippi,28,2394,61631773,3.9,4,0.40%
Missouri,29,12714,124019337,10.3,10.5,2.20%
Montana,30,1070,20574410,5.2,5.4,0.20%
Nebraska,31,997,38140443,2.6,2.7,0.20%
Nevada,32,8809,54449934,16.2,15.8,1.50%
New Hampshire,33,4086,27433817,14.9,15.2,0.70%
New Jersey,34,18126,183527438,9.9,9.8,3.10%
New Mexico,35,6666,41871705,15.9,16.5,1.10%
New York,36,36268,406513567,8.9,8.7,6.20%
North Carolina,37,21517,195081073,11,11.1,3.70%
North Dakota,38,437,14429518,3,3.1,0.10%
Ohio,39,35141,241915812,14.5,14.8,6.00%
Oklahoma,40,8398,77789801,10.8,11.1,1.40%
Oregon,41,6927,79673648,8.7,8.6,1.20%
Pennsylvania,42,23985,264535246,9.1,9.4,4.10%
Rhode Island,44,3606,22204639,16.2,16.3,0.60%
South Carolina,45,8157,95461790,8.5,8.6,1.40%
South Dakota,46,560,17043864,3.3,3.5,0.10%
Tennessee,47,16070,131259989,12.2,12.2,2.70%
Texas,48,30911,519544055,5.9,6,5.30%
Utah,49,7776,56570520,13.7,15,1.30%
Vermont,50,1419,13051465,10.9,11.1,0.20%
Virginia,51,14152,165355953,8.6,8.5,2.40%
Washington,53,14412,139875922,10.3,10,2.50%
West Virginia,54,9167,38383779,23.9,24.8,1.60%
Wisconsin,55,10825,118193381,9.2,9.3,1.80%
Wyoming,56,719,11452815,6.3,6.3,0.10%
,,585867,6416872524,9.1,9.1,100.00%
