State,State Code,Deaths,Population,Crude Rate
Alabama,1,213,98682634,0.2
Alaska,2,201,14569726,1.4
Arizona,4,1731,130658024,1.3
Arkansas,5,211,60151295,0.4
California,6,4605,776337985,0.6
Colorado,8,1159,104581601,1.1
Connecticut,9,570,74154436,0.8
Delaware,10,284,18545432,1.5
District of Columbia,11,317,12923833,2.5
Florida,12,1371,392032107,0.3
Georgia,13,792,198670995,0.4
Hawaii,15,117,28084286,0.4
Idaho,16,139,32067098,0.4
Illinois,17,7012,266645950,2.6
Indiana,18,1006,134763304,0.7
Iowa,19,253,63697647,0.4
Kansas,20,139,59137736,0.2
Kentucky,21,1046,89896925,1.2
Louisiana,22,559,95491059,0.6
Maine,23,171,27696591,0.6
Maryland,24,5264,120252834,4.4
Massachusetts,25,6679,138027854,4.8
Michigan,26,982,209120484,0.5
Minnesota,27,797,110696994,0.7
Mississippi,28,178,61631773,0.3
Missouri,29,756,124019337,0.6
Montana,30,71,20574410,0.3
Nebraska,31,42,38140443,0.1
Nevada,32,1092,54449934,2
New Hampshire,33,326,27433817,1.2
New Jersey,34,1517,183527438,0.8
New Mexico,35,257,41871705,0.6
New York,36,5190,406513567,1.3
North Carolina,37,512,195081073,0.3
North Dakota,38,107,14429518,0.7
Ohio,39,1557,241915812,0.6
Oklahoma,40,143,77789801,0.2
Oregon,41,664,79673648,0.8
Pennsylvania,42,1607,264535246,0.6
Rhode Island,44,918,22204639,4.1
South Carolina,45,309,95461790,0.3
South Dakota,46,19,17043864,Unreliable
Tennessee,47,1175,131259989,0.9
Texas,48,1972,519544055,0.4
Utah,49,661,56570520,1.2
Vermont,50,77,13051465,0.6
Virginia,51,788,165355953,0.5
Washington,53,3217,139875922,2.3
West Virginia,54,286,38383779,0.7
Wisconsin,55,412,118193381,0.3
Wyoming,56,123,11452815,1.1
,,59594,6416872524,0.9
