State,State Code,Deaths,Population,Crude Rate
Alabama,1,1121,98682634,1.1
Alaska,2,210,14569726,1.4
Arizona,4,2448,130658024,1.9
Arkansas,5,843,60151295,1.4
California,6,6123,776337985,0.8
Colorado,8,1371,104581601,1.3
Connecticut,9,3465,74154436,4.7
Delaware,10,1129,18545432,6.1
District of Columbia,11,758,12923833,5.9
Florida,12,11863,392032107,3
Georgia,13,2787,198670995,1.4
Hawaii,15,133,28084286,0.5
Idaho,16,260,32067098,0.8
Illinois,17,7321,266645950,2.7
Indiana,18,3381,134763304,2.5
Iowa,19,735,63697647,1.2
Kansas,20,595,59137736,1
Kentucky,21,4028,89896925,4.5
Louisiana,22,1092,95491059,1.1
Maine,23,1374,27696591,5
Maryland,24,7556,120252834,6.3
Massachusetts,25,9086,138027854,6.6
Michigan,26,7054,209120484,3.4
Minnesota,27,1279,110696994,1.2
Mississippi,28,620,61631773,1
Missouri,29,4109,124019337,3.3
Montana,30,196,20574410,1
Nebraska,31,243,38140443,0.6
Nevada,32,848,54449934,1.6
New Hampshire,33,2154,27433817,7.9
New Jersey,34,7396,183527438,4
New Mexico,35,865,41871705,2.1
New York,36,10966,406513567,2.7
North Carolina,37,6664,195081073,3.4
North Dakota,38,116,14429518,0.8
Ohio,39,15329,241915812,6.3
Oklahoma,40,1522,77789801,2
Oregon,41,704,79673648,0.9
Pennsylvania,42,10265,264535246,3.9
Rhode Island,44,1163,22204639,5.2
South Carolina,45,2552,95461790,2.7
South Dakota,46,167,17043864,1
Tennessee,47,4345,131259989,3.3
Texas,48,3410,519544055,0.7
Utah,49,999,56570520,1.8
Vermont,50,545,13051465,4.2
Virginia,51,4760,165355953,2.9
Washington,53,1656,139875922,1.2
West Virginia,54,3529,38383779,9.2
Wisconsin,55,2891,118193381,2.4
Wyoming,56,128,11452815,1.1
,,164154,6416872524,2.6
